,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,pypi_url,pypi_monthly_downloads,github_release_downloads,conda_id,conda_url,gitlab_id,gitlab_url
78,WolfBot,,bots-frameworks,https://github.com/Ekliptor/WolfBot,Crypto currency trading bot written in TypeScript for NodeJS.,14,True,['nodejs'],Ekliptor/WolfBot,,https://github.com/Ekliptor/WolfBot,AGPL-3.0,2018-04-23 00:45:12,2023-01-07 03:30:17,2022-02-18 12:10:27,541.0,,186.0,42.0,73.0,3.0,60.0,623.0,,,12.0,,,,3.0,,,,,,,,,,,
79,Technical Analysis for Rust,,ta,https://github.com/greyblake/ta-rs,Technical analysis library for Rust language.,13,True,['rust'],greyblake/ta-rs,,https://github.com/greyblake/ta-rs,MIT,2017-09-29 21:53:18,2022-12-21 20:39:59,2022-10-21 19:51:03,208.0,6.0,83.0,22.0,46.0,8.0,15.0,482.0,,,13.0,,,,3.0,,,,,,,,,,,
80,Frostybot-JS,,libraries-api,https://github.com/CryptoMF/frostybot-js,"Frostybot-JS is a cryptocurrency trading API endpoint, designed to execute webhook or REST requests as orders on a..",12,False,['nodejs'],CryptoMF/frostybot-js,,https://github.com/CryptoMF/frostybot-js,MIT,2020-10-23 18:25:57,2022-06-17 19:04:02,2021-11-12 09:27:51,475.0,,101.0,19.0,54.0,35.0,28.0,292.0,,,9.0,,,,3.0,,,,,,,,,,,
81,Wolfinch,,bots-frameworks,https://github.com/ldmonko/wolfinch,Wolfinch is your friendly trader Bot written in Python.,12,False,['python'],ldmonko/wolfinch,,https://github.com/ldmonko/wolfinch,GPL-3.0,2018-01-12 06:25:09,2022-12-08 04:54:48,2021-03-04 03:20:57,659.0,,52.0,12.0,7.0,6.0,17.0,246.0,,,6.0,,,,3.0,2020-07-12 22:31:10,1.1.1,1.0,,,,,,,,
82,Fast Trade,,libraries-api,https://github.com/jrmeier/fast-trade,low code backtesting library utilizing pandas and technical analysis indicators.,12,True,['python'],jrmeier/fast-trade,,https://github.com/jrmeier/fast-trade,AGPL-3.0,2019-08-06 16:22:53,2022-05-01 16:31:51,2022-05-01 15:46:38,231.0,,24.0,7.0,12.0,,3.0,223.0,,,5.0,,,,3.0,2022-03-09 05:42:51,0.4.0,17.0,,,,,,,,
83,Tulip Node,,ta,https://github.com/TulipCharts/tulipnode,Tulip Node is the official node.js wrapper for Tulip Indicators. It provides over 100 technical analysis overlay and..,11,True,['nodejs'],TulipCharts/tulipnode,,https://github.com/TulipCharts/tulipnode,LGPL-3.0,2016-12-20 21:44:21,2022-11-06 04:48:00,2022-08-22 18:53:04,78.0,,77.0,18.0,22.0,11.0,49.0,447.0,,,7.0,,,,3.0,,,,,,,,,,,
84,TriangularArbitrage,,bots-frameworks,https://github.com/tiagosiebler/TriangularArbitrage,Detect triangular arbitrage opportunities within Binance price tickers.,11,False,['nodejs'],tiagosiebler/TriangularArbitrage,,https://github.com/tiagosiebler/TriangularArbitrage,,2017-12-31 18:04:02,2022-12-07 17:42:04,2020-10-26 19:50:52,64.0,,131.0,53.0,15.0,8.0,48.0,428.0,,,6.0,,,,3.0,,,,,,,,,,,
85,Node.js & Typescript OKX (OKEX) API SDK,,libraries-api,https://github.com/tiagosiebler/okx-api,"Node.js SDK for the OKX APIs and WebSockets, with TypeScript & browser support, integration tests, beautification &..",11,False,['nodejs'],tiagosiebler/okx-api,okx-api,https://github.com/tiagosiebler/okx-api,MIT,2022-07-09 09:48:52,2023-01-07 12:37:36,2023-01-07 12:37:33,46.0,34.0,3.0,1.0,7.0,1.0,3.0,5.0,3.0,3.0,3.0,https://www.npmjs.com/package/okx-api,404.0,404.0,3.0,,,,,,,,,,,
86,stocklook,,libraries-api,https://github.com/zbarge/stocklook,"crypto currency library for trading & market making bots, account management, and data analysis.",9,False,['python'],zbarge/stocklook,,https://github.com/zbarge/stocklook,MIT,2017-10-29 22:05:01,2018-06-22 03:20:37,2018-06-22 03:19:35,57.0,,37.0,15.0,3.0,6.0,1.0,158.0,,,,,,,3.0,,,,,,,,,,,
87,Node.js & Typescript Bitget API SDK,,libraries-api,https://github.com/tiagosiebler/bitget-api,"Node.js SDK for the Bitget APIs and WebSockets, with TypeScript & browser support.",9,False,['nodejs'],tiagosiebler/bitget-api,bitget-api,https://github.com/tiagosiebler/bitget-api,MIT,2022-10-09 22:00:11,2022-12-25 12:08:10,2022-12-25 12:08:02,21.0,15.0,4.0,1.0,2.0,1.0,,4.0,,,,https://www.npmjs.com/package/bitget-api,343.0,343.0,3.0,,,,,,,,,,,
88,bTrader,,bots-frameworks,https://github.com/gabriel-milan/btrader,Triangle arbitrage trading bot for Binance.,8,False,['rust'],gabriel-milan/btrader,,https://github.com/gabriel-milan/btrader,GPL-3.0,2020-08-13 12:08:24,2021-05-30 18:29:56,2021-05-30 18:29:55,37.0,,45.0,15.0,1.0,,12.0,193.0,,,2.0,,,,3.0,,,,,,,,,,,
89,KuCoin WS,,libraries-api,https://github.com/IOfate/kucoin-ws,Node.js websocket client for KuCoin.,5,False,['nodejs'],IOfate/kucoin-ws,,https://github.com/IOfate/kucoin-ws,MIT,2021-09-05 06:14:20,2023-01-08 01:33:50,2022-07-13 19:44:34,121.0,,3.0,2.0,6.0,1.0,2.0,5.0,1.0,1.0,2.0,,,,3.0,,,,,,,,,,,
90,BitPanda WS,,libraries-api,https://github.com/IOfate/bitpanda-ws,Node.js websocket client for BitPanda.,5,False,['nodejs'],IOfate/bitpanda-ws,,https://github.com/IOfate/bitpanda-ws,MIT,2021-07-18 21:06:31,2023-01-07 09:20:25,2022-08-09 12:18:51,22.0,,,1.0,3.0,,,3.0,,,2.0,,,,3.0,,,,,,,,,,,
91,aio-kraken-ws,,libraries-api,https://gitlab.com/cdlr75/aio-kraken-ws,Get ohlc from kraken web sockets. Documentation https://cdlr75.gitlab.io/aio-kraken-ws.,0,False,['python'],,,,,2019-09-12 18:14:34,2019-09-12 18:14:34,,,,0.0,,,,1.0,1.0,,,,,,,,,,0.0,,,,,,,cdlr75/aio-kraken-ws,https://gitlab.com/cdlr75/aio-kraken-ws
92,Cassandre trading bot,,bots-frameworks,,,0,False,['java'],cassandre-trading-bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
